caminho,classe,split,origem_dataset,resolucao,phash_orbit
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.ca54d1f865c4bebb74b13fd8102d0667__ann30.jpg,anomala,train,lettuce_downy_v1,150x227,3249939981366603888|5442362052573295601|6686971079291159716|14250753563554864346|17398446264968251211|8084157809527822893|15770569888220366021|11872743696395193436
dataset\_work\final\lettuce_downy_v1\val\anomala\-2-_jpg.rf.d45ec306b4600851089219dc6c4c198b__ann31.jpg,anomala,val,lettuce_downy_v1,542x569,12876962636032779884|12885479877394996169|16477760265861052582|15621365236604527258|14527366258995483314|7793117253874594994|11160609042416323288|12013547361134685412
dataset\_work\final\lettuce_downy_v1\train\anomala\17_jpg.rf.3d7513828b7d12cc94a0c9a0574ee3c4__ann0.jpg,anomala,train,lettuce_downy_v1,395x604,15185252676011053714|13025154099391477174|16469827493472645756|15633919434619990977|13165696982739894964|10543543119282617554|13957668771148003032|8949327752336806116
dataset\_work\final\lettuce_downy_v1\train\anomala\-8-_jpg.rf.3ed3c4beada57f832d1e84ef950efb41__ann8.jpg,anomala,train,lettuce_downy_v1,396x443,15697666256648954416|7234177027420699123|11307559892195395558|14323802023248272528|17562265694537868388|3486404476453050841|10384382253577717958|16629474394129165468
dataset\_work\final\lettuce_downy_v1\train\anomala\images-21-_jpg.rf.3dda66a7d4289c905c2a975d863fe13e__ann9.jpg,anomala,train,lettuce_downy_v1,631x640,813385486158869897|3417495599494222702|11736604816768066838|13454552646667360663|7949785853333761327|9887078245654415627|10905861000493054138|1613865146789912738
dataset\_work\final\lettuce_downy_v1\test\anomala\06_jpg.rf.3e94e84d4d320033ccc30c6f49e6d5af__ann10.jpg,anomala,test,lettuce_downy_v1,429x366,3593493897324308465|8323807057476983408|14887406352486208664|10134913577922123494|8077996306235819123|17413040504624897585|16633575428148340364|10994647208069012174
dataset\_work\final\lettuce_downy_v1\train\anomala\06_jpg.rf.3ee494bd2e553143f702626306444fdb__ann12.jpg,anomala,train,lettuce_downy_v1,380x317,3647672054692941745|12900204793478712946|10679214713181754970|15479843008051254437|8218532027758741171|12794470721969626930|11931360570092278742|6545509694443697300
dataset\_work\final\lettuce_downy_v1\val\anomala\images-27-_jpg.rf.3e03e49cb41b4783aa4fb9e64e08d36b__ann13.jpg,anomala,val,lettuce_downy_v1,556x454,6652894006901009620|14210317407119526100|16316038233489713561|13297321234068171366|15332760483617846725|15342823615440835420|7379962505123301816|11072619513768210146
dataset\_work\final\lettuce_downy_v1\train\anomala\images-18-_jpg.rf.3fba83817f263c0db5244f1c783c9473__ann14.jpg,anomala,train,lettuce_downy_v1,363x424,12243415374971260694|7667490144757353623|5391321064990187243|11922246957104662304|10884094867808807018|1643733902073391529|2344040946990347429|16942210522807390538
dataset\_work\final\lettuce_downy_v1\test\anomala\images-34-_jpg.rf.3e02cd5ad2e6b688413bc85c755d417f__ann15.jpg,anomala,test,lettuce_downy_v1,383x326,3627178138329465682|12940308262778256565|14328723218404481177|11269242549503059814|13059581192078464435|5963663762242360882|7415133125512291484|11031818722579438022
dataset\_work\final\lettuce_downy_v1\train\anomala\images-20-_jpg.rf.3df47cf443558365e686cf3a56d2b0e4__ann16.jpg,anomala,train,lettuce_downy_v1,404x340,5973644899143308538|13085378837569393824|6614616267774285929|2678678819167265897|11589094675769366709|18074285417693636178|7630456332177648677|7626903308708793179
dataset\_work\final\lettuce_downy_v1\train\anomala\22_jpg.rf.3fe8ba1fc05649b6de2f08aea2447c7b__ann20.jpg,anomala,train,lettuce_downy_v1,560x640,9271565943018203623|18314701142989433368|10063801146781672178|3344569995397413808|1759310360644627198|16692931978835045248|12734798513448970798|17447533868705753483
dataset\_work\final\lettuce_downy_v1\train\anomala\images-29-_jpg.rf.3e3e3f94727cd77bcd2e6b62f7c1dd72__ann22.jpg,anomala,train,lettuce_downy_v1,458x591,15186476128257985001|3781954096737316200|14148239263491713218|15917368814814816700|7524913115888319540|16810183441289298386|13612669105174406620|14008631675217795268
dataset\_work\final\lettuce_downy_v1\train\anomala\images-4-_jpg.rf.3df175f1f5e1a31ec768a404d0e19d1e__ann23.jpg,anomala,train,lettuce_downy_v1,408x444,11835162846234335331|15745551973882192953|11931254000041487401|6545654186108373355|4171655705850315738|7194696379383496356|7766889982456092250|2984882068750898341
dataset\_work\final\lettuce_downy_v1\train\anomala\26_jpg.rf.3fd146d1a6550124408b018dc46e6ada__ann25.jpg,anomala,train,lettuce_downy_v1,342x255,3865394929129479108|6042381900979709148|2054914922840434224|14402123219724049139|15862844698476075603|14185031864273904693|17553358147477757639|3505644542433330204
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.3f5660384cc617c137e8287d40721ac2__ann26.jpg,anomala,train,lettuce_downy_v1,331x382,14717402614739497973|14736642412486078544|14739040974321382032|14712722092737278262|5778171314062918604|17722776911772860108|3941113396368649932|10408481627001293772
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.3f5660384cc617c137e8287d40721ac2__ann27.jpg,anomala,train,lettuce_downy_v1,239x225,4463613434279556818|4643476046872088756|12967816935151231958|3643676171052267668|13011137680685166656|15201589297803227453|10680321890413744178|15484496796548396723
dataset\_work\final\lettuce_downy_v1\train\anomala\images-37-_jpg.rf.406ae5082ff900befcc24c0e65bdf6b5__ann28.jpg,anomala,train,lettuce_downy_v1,564x623,7757637800627643440|3020414111345203955|7697370515344840867|12228484856793982010|17571443369428314665|3505081829745666155|4243642222874899625|11806381619542872682
dataset\_work\final\lettuce_downy_v1\val\anomala\images-33-_jpg.rf.4019dbcdb97414a8653253af656f4fbf__ann30.jpg,anomala,val,lettuce_downy_v1,347x617,6118644020094494896|15377730549419141298|10419245840989989296|17755096525560244978|12891779064623032533|12747663579592452436|17467996404579722998|12729895538558277776
dataset\_work\final\lettuce_downy_v1\train\anomala\16_jpg.rf.40b961a570a35eef6690c94ebee803bf__ann39.jpg,anomala,train,lettuce_downy_v1,420x569,16672688213666403212|1763561566441649870|6658964783499081434|14224999797278740900|14859144988849961240|10129560085316854247|11858485548196391365|15741853781230709084
dataset\_work\final\lettuce_downy_v1\train\anomala\images-15-_jpg.rf.41ab219c4204710657d0242dd6543fae__ann41.jpg,anomala,train,lettuce_downy_v1,364x640,5127722880705510344|1813778210411193316|10585934974448546702|13161818685112394382|16439237243896671001|14428153094763456839|10241811296562227382|10282672083885090962
dataset\_work\final\lettuce_downy_v1\train\anomala\22_jpg.rf.4015bdf6a7eab32d139f1cef39a1b3f4__ann42.jpg,anomala,train,lettuce_downy_v1,563x640,3761160608609064714|15254595024459206831|15476098178461513105|10708534953561117302|12614676261079725011|781186946835886644|8526120946318941332|10499373028971235030
dataset\_work\final\lettuce_downy_v1\train\anomala\images-33-_jpg.rf.41e9b045f7fd5fd2d44a3692809676c9__ann43.jpg,anomala,train,lettuce_downy_v1,385x640,3257673366405163507|5427918004007758384|2509213943837544578|13525680136990028990|3488834587748356939|17557798503291565357|13759860421070599355|9426285377838436898
dataset\_work\final\lettuce_downy_v1\train\anomala\images-33-_jpg.rf.41e9b045f7fd5fd2d44a3692809676c9__ann44.jpg,anomala,train,lettuce_downy_v1,347x640,10572284152687191524|13178321724613679576|17791424808503485138|10383212109038664628|15589607496787813046|16457676039926888594|13023223244223944848|15141925131822491638
dataset\_work\final\lettuce_downy_v1\train\anomala\images-17-_jpg.rf.405705b5ffe85f5139008dd6cda71bc9__ann49.jpg,anomala,train,lettuce_downy_v1,550x489,4095131850485319913|16344918620590500968|15845040837501802604|2655110517057971649|7560689345956467938|16845873391789724728|13971754464522590244|7807230655571748059
dataset\_work\final\lettuce_downy_v1\train\anomala\images-1-_jpg.rf.401fc36ddec96d49eb2e802ae1b05af6__ann51.jpg,anomala,train,lettuce_downy_v1,529x498,16475764575551533808|15589995809793553136|10278843494559884028|10257626215610825408|17344086694156720856|17344126121954551268|13887473031701879438|18204134478103291278
dataset\_work\final\lettuce_downy_v1\val\anomala\01_jpg.rf.41e2312ede1e8df4999c500c15047517__ann52.jpg,anomala,val,lettuce_downy_v1,326x640,3201575936808346905|14666514957514332519|11930254197813727890|6518569175220008118|7447151373364070859|1830121790094470700|13165372753443583578|10579743689775943845
dataset\_work\final\lettuce_downy_v1\train\anomala\images-24-_jpg.rf.40148d4fab9f2f6ac6cc9b13f0164611__ann53.jpg,anomala,train,lettuce_downy_v1,633x640,14552488038592505432|7840965811128343013|10516650124572369326|8399312770429057674|16544335712908267628|6369899440615126217|9978520567576957044|12547367858124223121
dataset\_work\final\lettuce_downy_v1\train\anomala\images_jpg.rf.4099b5058dc7f019c1dac6433dc9e064__ann54.jpg,anomala,train,lettuce_downy_v1,640x620,5236741423971858032|17134748340004164081|2077913200186704172|14381158195481771467|17406880787807783661|8103781559722880072|14662984968849036487|3188893624104113692
dataset\_work\final\lettuce_downy_v1\train\anomala\images-17-_jpg.rf.42ec3afc19772f37ac9f89b3643e3507__ann60.jpg,anomala,train,lettuce_downy_v1,484x544,8203467982927880434|8206885266176276656|7196948579982168176|4177285084238771441|12752174250227852401|17501186788471003249|17434725961956522041|8129162497261494371
dataset\_work\final\lettuce_downy_v1\train\anomala\images-17-_jpg.rf.431e124037df77b24bd0433395e1653f__ann63.jpg,anomala,train,lettuce_downy_v1,601x589,12745698083626309785|17471984104580375910|10878700961315219569|10871945381484750960|7414553341779540210|11049841861464220080|8135991255250821270|8208062044132931734
dataset\_work\final\lettuce_downy_v1\train\anomala\11_jpg.rf.43fb3d6111dfc679256f8d9bec787dc8__ann65.jpg,anomala,train,lettuce_downy_v1,640x640,18357352881891686112|9276334460190233336|16443313382637550816|15615028402127291128|17911477748793719936|16192311226824114942|17925011008451621848|16193969742252487396
dataset\_work\final\lettuce_downy_v1\train\anomala\-3-_jpg.rf.439de5c55dd77bf48fc6802c17ec0550__ann67.jpg,anomala,train,lettuce_downy_v1,414x221,14539557984233245932|7826332770516962504|14613963572331026796|12397464131482773449|14451111569284177004|17063130641251616457|14512758990466911404|7789339362624982986
dataset\_work\final\lettuce_downy_v1\train\anomala\01_jpg.rf.44b66117acda8a3f228369b74147b62f__ann68.jpg,anomala,train,lettuce_downy_v1,630x399,16891355902333473286|12153415159954388127|16422333945537357261|4042091246277511244|11508083844328368552|491535495070116586|5496668172572694584|14836431495888496611
dataset\_work\final\lettuce_downy_v1\train\anomala\30_jpg.rf.45c3af317ca464bb2e2ef45315f49173__ann76.jpg,anomala,train,lettuce_downy_v1,346x506,10615558182568076966|3942179957267078042|5374037113747564396|12526386251432073673|11140658467787748662|11972386835239883411|14490879993202726573|7811405825887081546
dataset\_work\final\lettuce_downy_v1\train\anomala\26_jpg.rf.4529174c4cce497c1da1c5541a1305b4__ann77.jpg,anomala,train,lettuce_downy_v1,298x295,5640220637629529144|10204478824708752355|11855223210288391394|6529818904910617240|16412175770578296205|4052320922962904654|11014348465702674010|16331236108030871204
dataset\_work\final\lettuce_downy_v1\train\anomala\17_jpg.rf.45a535e960b7c17ddb24a875782c6cbb__ann79.jpg,anomala,train,lettuce_downy_v1,516x306,11716560626932664886|13431514147864620435|11077087829576566099|7377708119571455029|10641190408070260410|3912121942027901346|3845108897176248934|6036431174341540249
dataset\_work\final\lettuce_downy_v1\test\anomala\13_jpg.rf.4759aac1e8751bb4304080dabb189b7f__ann82.jpg,anomala,test,lettuce_downy_v1,446x397,7848737960846607878|14540000135082515611|16324856827405326029|12127822902639105100|11213040775547177161|488185686417075308|5518218557968502440|14832212498304372194
dataset\_work\final\lettuce_downy_v1\train\anomala\-8-_jpg.rf.4653964e445aa7fa85a45965e74ffb1d__ann85.jpg,anomala,train,lettuce_downy_v1,431x409,14890561569355689268|10113563743592794579|3761124124656687577|15254733800550524004|15224733063542495884|3777824714356336078|7234176885552559059|15661638026834096692
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.474e66b222a3e68beadf574eb8060b81__ann87.jpg,anomala,train,lettuce_downy_v1,440x247,14728629972614964953|14742998234888181860|6504943309054151441|11933751082907544951|7248746369025219020|15701486370320705228|8587700205614505381|1228139732751566426
dataset\_work\final\lettuce_downy_v1\test\anomala\images-23-_jpg.rf.474e66b222a3e68beadf574eb8060b81__ann88.jpg,anomala,test,lettuce_downy_v1,163x243,7525711457931500588|16857451361336805323|13899336389290248778|6690313079169592749|14683960002192011753|3178442601387946088|12514673749867681884|5353177838803281088
dataset\_work\final\lettuce_downy_v1\val\anomala\-2-_jpg.rf.47141886a508df86f1f3e80855a3f4a3__ann89.jpg,anomala,val,lettuce_downy_v1,465x510,3653435091039433844|12912425018434114513|13838909152924263430|18180902282528348191|15119605584970003123|8373417438797869874|2294637500952104956|496789635325627840
dataset\_work\final\lettuce_downy_v1\train\anomala\22_jpg.rf.477e1b3895437f18f6ddb1e08d1bac05__ann91.jpg,anomala,train,lettuce_downy_v1,529x640,12057359110022666651|1933704106048972326|6006629802199195060|3829541964242831058|2767114137252517146|11212054707492639911|15151839155547546933|13014658596608498515
dataset\_work\final\lettuce_downy_v1\train\anomala\images-24-_jpg.rf.47abe3a16c8ea16bcfe163a7ce5146e2__ann94.jpg,anomala,train,lettuce_downy_v1,640x593,3667244097208103089|12815039157890118226|16255980815875691108|8711761345094399193|5977053597310572721|12803941093375468594|15687256133761033848|7265103986655008993
dataset\_work\final\lettuce_downy_v1\val\anomala\26_jpg.rf.48a8cdb3e284fcf67ee2081e16a0d316__ann95.jpg,anomala,val,lettuce_downy_v1,267x357,9878713470016260601|7991429794187931232|7265948668886521500|15660234388029020102|6948504134450669422|17980955431207245961|14310138703896663257|11247234662601708900
dataset\_work\final\lettuce_downy_v1\test\anomala\01_jpg.rf.49a9e05b2246d6ee7797e7704c80842d__ann98.jpg,anomala,test,lettuce_downy_v1,397x640,17467887194912222117|12729874752543730010|17639669709531296140|15044471209130750542|6496888059510499760|11919716349618055922|5652813638288984272|10138117672570899700
dataset\_work\final\lettuce_downy_v1\val\anomala\06_jpg.rf.4aa71280d50f264de80aa237fd0e03d1__ann106.jpg,anomala,val,lettuce_downy_v1,311x375,9553420350028731346|16057116575289914772|8545336649458353552|10454750195816554230|10679496463305070302|15155583826154067076|17752652438902085265|10413755368950896502
dataset\_work\final\lettuce_downy_v1\test\anomala\04_jpg.rf.485a6e0ee9f0eb23637ab4474c6dfa52__ann107.jpg,anomala,test,lettuce_downy_v1,440x479,14822586271454866034|5535514975501200305|7649685796729856458|12208092223854173100|12802496461637538380|8226570405950239949|12419530585919941545|14565045599157365098
dataset\_work\final\lettuce_downy_v1\val\anomala\17_jpg.rf.48265bfc57c94815ea37faff594e3d9e__ann109.jpg,anomala,val,lettuce_downy_v1,371x492,7268935391370966124|15706498740901171657|17027448159687323811|14433292128399323706|14542554636506757337|7815133870133796964|4247649043097472456|11795080040958741996
dataset\_work\final\lettuce_downy_v1\train\anomala\images-21-_jpg.rf.4781a17540d36a58f97ecd74c731b23d__ann111.jpg,anomala,train,lettuce_downy_v1,640x640,10563670553425390792|13143388934032313068|12512368426602544360|5393276799357666024|17062673672398071478|14459981214526904722|16771987314007398474|16734379399752492205
dataset\_work\final\lettuce_downy_v1\train\anomala\04_jpg.rf.484e8f4518a953c42fcbf10fb2a9dbc7__ann112.jpg,anomala,train,lettuce_downy_v1,536x390,12963512796670763170|2456883830203415226|1169024078197837363|17537953542680382771|13473270977552586786|11718588839456335795|3714841557159076851|3697134864616995088
dataset\_work\final\lettuce_downy_v1\test\anomala\-2-_jpg.rf.4a4e4c7132ddd4a2cd68326a31a53f58__ann113.jpg,anomala,test,lettuce_downy_v1,530x483,15919252639954524575|14179634591026078982|12840367426816268753|12876807127745193332|461042381910624452|11482262218482642140|8387242659350819762|15085336625030771378
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.4b3bcbaf10d47397ffda46d01a70a0eb__ann114.jpg,anomala,train,lettuce_downy_v1,354x302,8404180298552252326|15022419361500370842|16030197508067152372|9552471475805648080|11103394180626021072|11968187690956202356|15020756217103552900|17641076600759088862
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.4b3bcbaf10d47397ffda46d01a70a0eb__ann115.jpg,anomala,train,lettuce_downy_v1,207x206,3199917676007837849|14693514728864527462|9075001381437732595|4679372825115267376|7400804914485127627|11083622721113057324|3499750754468032576|17543427980844462205
dataset\_work\final\lettuce_downy_v1\train\anomala\images-1-_jpg.rf.4addde55621ca9ef43a4dc33eeb85914__ann117.jpg,anomala,train,lettuce_downy_v1,556x483,17337395912632429467|17340631401279268902|14689002098269133498|3198809551475156642|2749514120382162672|11235288781895342832|11720281353490818092|13446143391843867083
dataset\_work\final\lettuce_downy_v1\val\anomala\11_jpg.rf.4b7881fcc196362506b383b5c9fd66f2__ann123.jpg,anomala,val,lettuce_downy_v1,631x598,15868762054105503897|13862971631047796582|14225281528353731506|5524128434788316082|7415154586839376832|11031611319301913052|12840660948350249292|12840733849559919301
dataset\_work\final\lettuce_downy_v1\test\anomala\images-11-_jpg.rf.4e0d87f14f80ddc30998abf13ac9ca9b__ann134.jpg,anomala,test,lettuce_downy_v1,640x580,17481519016296634855|12729090957558309912|16891287566591242480|12135486643962049264|1757783496028366512|16706552092463241970|17362179609904834984|17343542783627520490
dataset\_work\final\lettuce_downy_v1\train\anomala\images-15-_jpg.rf.4c4b870a869050d76184e4d962b973c8__ann136.jpg,anomala,train,lettuce_downy_v1,596x640,8739472752553603808|7056547615515259608|3816442296500194708|15100748563822563030|15614659731285929313|16191048880024471673|15442318405287448785|10704400301168457268
dataset\_work\final\lettuce_downy_v1\val\anomala\04_jpg.rf.4d9826dd3a5fe18a328ff9ce0de437e9__ann139.jpg,anomala,val,lettuce_downy_v1,544x370,12965479821866879136|3641224980190260474|1196889007838875187|17854190402002521395|18080972649302493234|11585754357213425331|3714779437981746935|3697118926026873872
dataset\_work\final\lettuce_downy_v1\train\anomala\images-24-_jpg.rf.4dfbf9c63bd427b5d27ab871d2d282c7__ann142.jpg,anomala,train,lettuce_downy_v1,566x637,14723088271943152170|14750881543712453547|13161129817453732522|10545849868566117034|12372470407694431692|3040744408324133580|12302281424939145874|12295426890175980982
dataset\_work\final\lettuce_downy_v1\train\anomala\11_jpg.rf.4e619850da1a0824fc7a63175a6fcde1__ann143.jpg,anomala,train,lettuce_downy_v1,640x627,14467367587214635494|17049688293836878360|17551004535127387618|3492104704434784952|1761550175415409900|16623328619592861384|13279512259240031792|16333862810984485363
dataset\_work\final\lettuce_downy_v1\train\anomala\images-34-_jpg.rf.4dac75e64ff237b1d644ae5934604a55__ann144.jpg,anomala,train,lettuce_downy_v1,281x365,9981684911844827955|12582626000748755763|7436098623803335023|1852058950983645705|3691607664665009838|3684898624490276490|682988743700099865|8043870776229900903
dataset\_work\final\lettuce_downy_v1\train\anomala\images-24-_jpg.rf.4b9806d66aefdf9f0bfce5b3ab29fc4e__ann145.jpg,anomala,train,lettuce_downy_v1,640x640,16481708879447913688|15610229030087348452|12728907109562335860|17481402786786164177|16487916454430941912|15633371904055360228|15113493009295710962|8377372969318065840
dataset\_work\final\lettuce_downy_v1\val\anomala\-8-_jpg.rf.4bf0dd08869050f10d798840127b1677__ann146.jpg,anomala,val,lettuce_downy_v1,432x424,1042174898426138044|10345277205786807490|18070953581632842836|11595863517035284949|14000810093769036175|13604675625335682574|15405068732124949664|6083462431364663546
dataset\_work\final\lettuce_downy_v1\train\anomala\01_jpg.rf.4e9de86ad5e10bd97a8a7c3dd25c0326__ann149.jpg,anomala,train,lettuce_downy_v1,621x423,925017949992306922|14957780136535780520|10956190108025751628|16631744652991983565|12172275222488388815|16917814541538219532|14839244931093221350|5478777212628110488
dataset\_work\final\lettuce_downy_v1\train\anomala\-8-_jpg.rf.4fd6bdcd1ea915c798ef6c943ac663a4__ann152.jpg,anomala,train,lettuce_downy_v1,384x409,6515807716954135002|11946234407839098020|14901518872695600702|10145717781116260483|11845817679397833125|15769860598999575642|9480301853441051788|4537038578283498702
dataset\_work\final\lettuce_downy_v1\test\anomala\images-19-_jpg.rf.4fd72feef54c1662febf08bccb63c1a3__ann153.jpg,anomala,test,lettuce_downy_v1,496x456,11010571136380809930|16594895495304557228|17398391804672292452|8084382082384434137|12444109370921929958|14605777971247107480|15677890987135218032|7221116747267535857
dataset\_work\final\lettuce_downy_v1\train\anomala\images-28-_jpg.rf.4fbb9b88cbf793560b5d787953df0759__ann154.jpg,anomala,train,lettuce_downy_v1,572x525,14496162074837850953|7839520819527231341|18069166750673561294|11582192580295891340|7865311734365604716|5267860700620270793|10131326082200550560|14872630728848556794
dataset\_work\final\lettuce_downy_v1\val\anomala\27_jpg.rf.4ff038022c96384cd9ce54c21d72c0f7__ann156.jpg,anomala,val,lettuce_downy_v1,408x579,7359000978518324339|11095683768635478833|8136954324285963452|17350361539304669890|3590377849246841753|8301355096855027814|14034019988157614320|13599926071381519472
dataset\_work\final\lettuce_downy_v1\train\anomala\27_jpg.rf.4ff038022c96384cd9ce54c21d72c0f7__ann157.jpg,anomala,train,lettuce_downy_v1,389x627,15683191801383540987|7231154155638547488|16823680626152223194|7521542278427996836|2370279245595826788|18147475330320016857|11849754523518263656|15758496213444884969
dataset\_work\final\lettuce_downy_v1\train\anomala\images-23-_jpg.rf.506b9b7f3f87712dfebd58d81529d578__ann161.jpg,anomala,train,lettuce_downy_v1,165x237,944095868346200160|5739740915228144120|5823405988181288356|17723028859077090010|17938385641199347535|6949248504390359565|15733969345087862005|11864009176561012816
dataset\_work\final\lettuce_downy_v1\train\anomala\images-15-_jpg.rf.509b58d4a73b446ac9fbf67908c07cdc__ann162.jpg,anomala,train,lettuce_downy_v1,335x617,14661704749139242444|3234029201365879500|2506960786738606734|13487223489169043854|14720762553572843820|14712445033141139659|10282062192228314299|10264376003296217634
dataset\_work\final\lettuce_downy_v1\train\anomala\images-20-_jpg.rf.501d7d4230ed46af7bb2ba029c2c52f5__ann164.jpg,anomala,train,lettuce_downy_v1,335x407,16817781981974889509|7555127189630803803|14331762930738164954|11301952800746688932|6620245763013532008|2667420369853572329|11876480555989784732|15741420845360669894
dataset\_work\final\lettuce_downy_v1\test\anomala\images-19-_jpg.rf.4f0951986c737075dd15db2f6a905c2c__ann166.jpg,anomala,test,lettuce_downy_v1,465x465,12823952972979094168|8219162699924420838|15625913379412437700|16475391509254416600|16625076202089222258|11007567019805898673|15611895836573279460|14189407350257212120
dataset\_work\final\lettuce_downy_v1\test\anomala\11_jpg.rf.50a6e4cde2bcb6f84c8d66910c85462a__ann173.jpg,anomala,test,lettuce_downy_v1,603x640,15031240555873659477|17592874728163748180|12518507292027173628|5378083621530346176|6100448601022015220|6154814899612654032|13880843066199941706|18210985016906529453
dataset\_work\final\lettuce_downy_v1\train\anomala\01_jpg.rf.531462b9e8fdf3f039f2cf641390b307__ann176.jpg,anomala,train,lettuce_downy_v1,404x640,3474567076554528342|17574131950288737429|16030198601560200585|9552647950020137582|10778465916319163379|6257273232943233072|7949505136661008772|9914099864490505950
dataset\_work\final\lettuce_downy_v1\train\anomala\images-27-_jpg.rf.52219f21df43af9d186edd6499338239__ann178.jpg,anomala,train,lettuce_downy_v1,440x539,8654691103702147111|16224000859692398875|5277429478974080210|7873334053113027764|2015810317987751905|2837520982365903736|13032512739685385069|15187383059448216905
