caminho,classe,origem_dataset,categoria_original,largura,altura,formato_original
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (47).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (48).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (49).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (5).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (50).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (51).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (52).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (53).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (54).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (55).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (56).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (57).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (58).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (59).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (6).jpg,saudavel,spinach_n56pn9fncw,healthy,720,960,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (60).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (61).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (62).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (63).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (64).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (65).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (66).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (67).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (68).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (69).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (7).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (70).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (71).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (72).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (73).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (74).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (75).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (76).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (77).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (78).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (79).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (8).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (80).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (81).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (82).jpg,saudavel,spinach_n56pn9fncw,healthy,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (83).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (84).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (85).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (86).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (87).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (88).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (89).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (9).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (90).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (91).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (92).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (93).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (94).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (95).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (96).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (97).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (98).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\saudavel\healthy__healthy (99).jpg,saudavel,spinach_n56pn9fncw,healthy,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (1).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (10).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (100).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (101).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (102).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (103).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (104).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (105).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (106).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (107).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (108).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (109).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (11).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (110).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (111).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (112).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (113).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,1440,1080,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (114).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (115).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
dataset\_work\spinach_classified\spinach_n56pn9fncw\anomala\anthracnose_leaf_spot__anthracnose_leaf_spot (116).jpg,anomala,spinach_n56pn9fncw,anthracnose_leaf_spot,4640,3472,JPEG
