caminho,classe,origem_dataset,origem_pasta,categoria_original,imagem_original,split_roboflow_original,bbox_w,bbox_h,crop_w,crop_h
dataset\_work\crops\lettuce_disease_v1\anomala\images-4-_jpg.rf.19b45bcfd3cd6053066673f6d0df2c8f__ann19.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,images-4-_jpg.rf.19b45bcfd3cd6053066673f6d0df2c8f.jpg,test,402,268,467,311
dataset\_work\crops\lettuce_disease_v1\anomala\images-25-_jpg.rf.126c6fe871004ba1e2b3079261e0975a__ann20.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,images-25-_jpg.rf.126c6fe871004ba1e2b3079261e0975a.jpg,test,157,169,182,196
dataset\_work\crops\lettuce_disease_v1\anomala\images-25-_jpg.rf.126c6fe871004ba1e2b3079261e0975a__ann21.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,images-25-_jpg.rf.126c6fe871004ba1e2b3079261e0975a.jpg,test,235,142,272,165
dataset\_work\crops\lettuce_disease_v1\saudavel\-1-_jpg.rf.6ddf60e9ab65dda5e76174e72d1073fd__ann22.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,-1-_jpg.rf.6ddf60e9ab65dda5e76174e72d1073fd.jpg,test,436,404,505,469
dataset\_work\crops\lettuce_disease_v1\anomala\-6-_jpg.rf.670b4bdcd231c577827f8494e667d0d4__ann23.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,-6-_jpg.rf.670b4bdcd231c577827f8494e667d0d4.jpg,test,503,418,554,485
dataset\_work\crops\lettuce_disease_v1\anomala\ba15_jpg.rf.72ca3ae419a0b89c5d68cddade0048d3__ann24.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,ba15_jpg.rf.72ca3ae419a0b89c5d68cddade0048d3.jpg,test,215,168,250,195
dataset\_work\crops\lettuce_disease_v1\anomala\s01_jpg.rf.6e6b4488b3a297142ad6d0ba580cd684__ann25.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,s01_jpg.rf.6e6b4488b3a297142ad6d0ba580cd684.jpg,test,624,456,640,501
dataset\_work\crops\lettuce_disease_v1\saudavel\h11_jpg.rf.7cc09bd0f3cda46127b57c28f99f1136__ann26.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,h11_jpg.rf.7cc09bd0f3cda46127b57c28f99f1136.jpg,test,560,615,626,640
dataset\_work\crops\lettuce_disease_v1\anomala\-2-_jpg.rf.7c9ae0c87641e09f064644152e2f6493__ann27.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,-2-_jpg.rf.7c9ae0c87641e09f064644152e2f6493.jpg,test,232,354,264,411
dataset\_work\crops\lettuce_disease_v1\anomala\-2-_jpg.rf.7c9ae0c87641e09f064644152e2f6493__ann28.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,-2-_jpg.rf.7c9ae0c87641e09f064644152e2f6493.jpg,test,234,521,271,604
dataset\_work\crops\lettuce_disease_v1\saudavel\h20_jpg.rf.760b39dc9fff418ae4fac965780febd2__ann29.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,h20_jpg.rf.760b39dc9fff418ae4fac965780febd2.jpg,test,325,482,377,555
dataset\_work\crops\lettuce_disease_v1\saudavel\h18_jpg.rf.78b74834230db3c22a4f5fc51d566429__ann30.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,h18_jpg.rf.78b74834230db3c22a4f5fc51d566429.jpg,test,542,418,627,485
dataset\_work\crops\lettuce_disease_v1\anomala\images-27-_jpg.rf.5976f087bf6ca470e1593042dd79442e__ann31.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,images-27-_jpg.rf.5976f087bf6ca470e1593042dd79442e.jpg,test,479,224,537,259
dataset\_work\crops\lettuce_disease_v1\anomala\11102_jpg.rf.7d2e192f69c33e60cbfca96cf9590a5c__ann32.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,11102_jpg.rf.7d2e192f69c33e60cbfca96cf9590a5c.jpg,test,359,208,416,241
dataset\_work\crops\lettuce_disease_v1\anomala\images-10-_jpg.rf.7d5d7e409343972429a6357780984547__ann33.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,images-10-_jpg.rf.7d5d7e409343972429a6357780984547.jpg,test,383,320,444,371
dataset\_work\crops\lettuce_disease_v1\anomala\-1-_jpg.rf.8028c0ea387db9386a4e96f44db574e3__ann34.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,-1-_jpg.rf.8028c0ea387db9386a4e96f44db574e3.jpg,test,182,337,211,390
dataset\_work\crops\lettuce_disease_v1\anomala\-1-_jpg.rf.8028c0ea387db9386a4e96f44db574e3__ann35.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,-1-_jpg.rf.8028c0ea387db9386a4e96f44db574e3.jpg,test,114,224,133,243
dataset\_work\crops\lettuce_disease_v1\anomala\29_jpg.rf.80febcf992293db0ea1627f954cc755f__ann36.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,29_jpg.rf.80febcf992293db0ea1627f954cc755f.jpg,test,420,309,487,358
dataset\_work\crops\lettuce_disease_v1\anomala\th-9-_jpg.rf.852c8516efbf24b6dad777f4e049e67f__ann37.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,th-9-_jpg.rf.852c8516efbf24b6dad777f4e049e67f.jpg,test,544,410,618,475
dataset\_work\crops\lettuce_disease_v1\anomala\IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c__ann38.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c.jpg,test,200,148,232,171
dataset\_work\crops\lettuce_disease_v1\anomala\IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c__ann39.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c.jpg,test,212,144,245,167
dataset\_work\crops\lettuce_disease_v1\anomala\IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c__ann40.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c.jpg,test,192,114,223,133
dataset\_work\crops\lettuce_disease_v1\anomala\IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c__ann41.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,IMG_2025-MOV-00_00_01_11-Still001-860x484_jpg.rf.8f4a548cdb11ffb67ebd1ec8f307cb8c.jpg,test,204,91,237,103
dataset\_work\crops\lettuce_disease_v1\anomala\images-20-_jpg.rf.85d3446dc0117e3dfd2d0b9bc9ac7391__ann42.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,images-20-_jpg.rf.85d3446dc0117e3dfd2d0b9bc9ac7391.jpg,test,222,299,257,346
dataset\_work\crops\lettuce_disease_v1\saudavel\h11_jpg.rf.a735abc4cedf8e6d61cbf349df0e844e__ann43.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,h11_jpg.rf.a735abc4cedf8e6d61cbf349df0e844e.jpg,test,560,615,626,640
dataset\_work\crops\lettuce_disease_v1\anomala\26_jpg.rf.a148a1408d30baf03fe833837b909766__ann44.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,26_jpg.rf.a148a1408d30baf03fe833837b909766.jpg,test,204,231,237,268
dataset\_work\crops\lettuce_disease_v1\anomala\26_jpg.rf.a148a1408d30baf03fe833837b909766__ann45.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,26_jpg.rf.a148a1408d30baf03fe833837b909766.jpg,test,252,111,293,128
dataset\_work\crops\lettuce_disease_v1\anomala\08_jpg.rf.9da52d9cad648e700c8ff2979bdf10ca__ann46.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,08_jpg.rf.9da52d9cad648e700c8ff2979bdf10ca.jpg,test,252,235,293,272
dataset\_work\crops\lettuce_disease_v1\anomala\D-LE-ECIC-FU-001banner_png_jpg.rf.9f9d9297ae894adff2256b9f1413923f__ann47.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,D-LE-ECIC-FU-001banner_png_jpg.rf.9f9d9297ae894adff2256b9f1413923f.jpg,test,602,384,640,445
dataset\_work\crops\lettuce_disease_v1\anomala\-10-_jpg.rf.b1be661c8f8c92b81044f98bb8e875dc__ann48.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,-10-_jpg.rf.b1be661c8f8c92b81044f98bb8e875dc.jpg,test,490,264,562,307
dataset\_work\crops\lettuce_disease_v1\saudavel\images-1-_jpg.rf.b04e30187bb86dc73c6380234291f1f6__ann49.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,images-1-_jpg.rf.b04e30187bb86dc73c6380234291f1f6.jpg,test,514,444,597,515
dataset\_work\crops\lettuce_disease_v1\anomala\-9-_jpg.rf.ad68370eaedadecb38712b5e9a6145b4__ann50.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,-9-_jpg.rf.ad68370eaedadecb38712b5e9a6145b4.jpg,test,168,314,195,365
dataset\_work\crops\lettuce_disease_v1\anomala\images-7-_jpg.rf.b5b5c32c0bebda0b986b813b88f2a924__ann51.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,images-7-_jpg.rf.b5b5c32c0bebda0b986b813b88f2a924.jpg,test,387,343,448,398
dataset\_work\crops\lettuce_disease_v1\anomala\-_jpg.rf.b32c49a144d27a26bac62fc5834499a2__ann52.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,-_jpg.rf.b32c49a144d27a26bac62fc5834499a2.jpg,test,370,382,429,443
dataset\_work\crops\lettuce_disease_v1\anomala\07_jpg.rf.bd810af8f31eaa5158a467198864cabf__ann53.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,07_jpg.rf.bd810af8f31eaa5158a467198864cabf.jpg,test,219,270,254,313
dataset\_work\crops\lettuce_disease_v1\anomala\04_jpg.rf.b81760748377ef3c304ae676bb197a23__ann54.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,04_jpg.rf.b81760748377ef3c304ae676bb197a23.jpg,test,306,421,355,471
dataset\_work\crops\lettuce_disease_v1\anomala\istockphoto-1308575738-1024x1024_jpg.rf.c1ee5dc67eec274f7255536f053a2f56__ann55.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,istockphoto-1308575738-1024x1024_jpg.rf.c1ee5dc67eec274f7255536f053a2f56.jpg,test,284,233,329,270
dataset\_work\crops\lettuce_disease_v1\anomala\th-16-_jpg.rf.c20146eea9dfceaaa9e23b6f46f3d965__ann56.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,th-16-_jpg.rf.c20146eea9dfceaaa9e23b6f46f3d965.jpg,test,441,574,512,640
dataset\_work\crops\lettuce_disease_v1\anomala\bacterial-leaf-spot-of-lettuce-figure-2-300x201_png_jpg.rf.cf6331f09ab2ebb03e5c3bd812ac2470__ann57.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,bacterial-leaf-spot-of-lettuce-figure-2-300x201_png_jpg.rf.cf6331f09ab2ebb03e5c3bd812ac2470.jpg,test,626,289,640,336
dataset\_work\crops\lettuce_disease_v1\anomala\images-41-_jpg.rf.d115b0d017ae8281861e1c4e60821d6b__ann58.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,images-41-_jpg.rf.d115b0d017ae8281861e1c4e60821d6b.jpg,test,565,216,636,251
dataset\_work\crops\lettuce_disease_v1\anomala\18_jpg.rf.d1795c0ba1569b5ce44242d80c88f8ff__ann59.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,18_jpg.rf.d1795c0ba1569b5ce44242d80c88f8ff.jpg,test,310,270,346,313
dataset\_work\crops\lettuce_disease_v1\anomala\5485248_jpg.rf.d241065522ce7111e4e24f0fed7f6d83__ann60.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,5485248_jpg.rf.d241065522ce7111e4e24f0fed7f6d83.jpg,test,550,258,615,299
dataset\_work\crops\lettuce_disease_v1\saudavel\romaine-lettuce-on-wooden-chopping-board-1-_jpg.rf.d885308a8962e231fb6c2d83f78cf7fb__ann61.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,romaine-lettuce-on-wooden-chopping-board-1-_jpg.rf.d885308a8962e231fb6c2d83f78cf7fb.jpg,test,431,350,500,406
dataset\_work\crops\lettuce_disease_v1\anomala\images-12-_jpg.rf.da6075370c7d8d66a155ee4e0a12489f__ann62.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Powdery_mildew_on_lettuce,images-12-_jpg.rf.da6075370c7d8d66a155ee4e0a12489f.jpg,test,538,492,606,570
dataset\_work\crops\lettuce_disease_v1\anomala\s07_jpg.rf.d2fee026cfc5a9ede8921c7d4c4bca90__ann63.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,s07_jpg.rf.d2fee026cfc5a9ede8921c7d4c4bca90.jpg,test,348,404,386,469
dataset\_work\crops\lettuce_disease_v1\anomala\s07_jpg.rf.d2fee026cfc5a9ede8921c7d4c4bca90__ann64.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,s07_jpg.rf.d2fee026cfc5a9ede8921c7d4c4bca90.jpg,test,208,275,241,306
dataset\_work\crops\lettuce_disease_v1\anomala\ba14_jpg.rf.de3f9d3071e0f12ecc7d0fbcedbb3928__ann65.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,ba14_jpg.rf.de3f9d3071e0f12ecc7d0fbcedbb3928.jpg,test,482,250,559,290
dataset\_work\crops\lettuce_disease_v1\anomala\images-7-_jpg.rf.deb5ac9eb592ce8dd964897b7d53c163__ann66.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,images-7-_jpg.rf.deb5ac9eb592ce8dd964897b7d53c163.jpg,test,241,210,280,243
dataset\_work\crops\lettuce_disease_v1\anomala\11103-1-jpg-crdownload_jpg.rf.e014410971923bb4a56cf4abe817ed79__ann67.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,11103-1-jpg-crdownload_jpg.rf.e014410971923bb4a56cf4abe817ed79.jpg,test,454,403,527,468
dataset\_work\crops\lettuce_disease_v1\saudavel\-6-_jpg.rf.f36006c36e4c70a73ebae00b45c5c754__ann68.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,-6-_jpg.rf.f36006c36e4c70a73ebae00b45c5c754.jpg,test,380,237,441,274
dataset\_work\crops\lettuce_disease_v1\anomala\images-16-_jpg.rf.eb19233067223541cd18dd5ff3ed21a6__ann69.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,images-16-_jpg.rf.eb19233067223541cd18dd5ff3ed21a6.jpg,test,391,524,454,583
dataset\_work\crops\lettuce_disease_v1\anomala\-6-_jpg.rf.f7b99b2ac026b1aa0250ce3f9080edeb__ann70.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,-6-_jpg.rf.f7b99b2ac026b1aa0250ce3f9080edeb.jpg,test,555,467,635,542
dataset\_work\crops\lettuce_disease_v1\anomala\Disease-symptoms-induced-in-romaine-lettuce-plants-by-Impatiens-necrotic-spot-virus-A_png_jpg.rf.fcebe85b3cd7674ddf8fb1f5783f3564__ann71.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,Disease-symptoms-induced-in-romaine-lettuce-plants-by-Impatiens-necrotic-spot-virus-A_png_jpg.rf.fcebe85b3cd7674ddf8fb1f5783f3564.jpg,test,272,244,310,270
dataset\_work\crops\lettuce_disease_v1\anomala\Disease-symptoms-induced-in-romaine-lettuce-plants-by-Impatiens-necrotic-spot-virus-A_png_jpg.rf.fcebe85b3cd7674ddf8fb1f5783f3564__ann72.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,Disease-symptoms-induced-in-romaine-lettuce-plants-by-Impatiens-necrotic-spot-virus-A_png_jpg.rf.fcebe85b3cd7674ddf8fb1f5783f3564.jpg,test,248,228,287,263
dataset\_work\crops\lettuce_disease_v1\anomala\-4-_jpg.rf.82a1dfe659916b46c5427ff008c4ca01__ann0.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Wilt_and_leaf_blight_on_lettuce,-4-_jpg.rf.82a1dfe659916b46c5427ff008c4ca01.jpg,train,362,444,419,515
dataset\_work\crops\lettuce_disease_v1\anomala\images-28-_jpg.rf.80f2d59a60eacccc44849d14199a308b__ann1.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Downy_mildew_on_lettuce,images-28-_jpg.rf.80f2d59a60eacccc44849d14199a308b.jpg,train,417,437,484,506
dataset\_work\crops\lettuce_disease_v1\saudavel\images-7-_jpg.rf.82696b06aa23c28fd7b97a253e41b2f0__ann2.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,images-7-_jpg.rf.82696b06aa23c28fd7b97a253e41b2f0.jpg,train,322,114,373,133
dataset\_work\crops\lettuce_disease_v1\saudavel\images-7-_jpg.rf.82696b06aa23c28fd7b97a253e41b2f0__ann3.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,images-7-_jpg.rf.82696b06aa23c28fd7b97a253e41b2f0.jpg,train,340,109,395,126
dataset\_work\crops\lettuce_disease_v1\saudavel\images-7-_jpg.rf.82696b06aa23c28fd7b97a253e41b2f0__ann4.jpg,saudavel,lettuce_disease_v1,Lettuce Disease.v1i.coco,healthy,images-7-_jpg.rf.82696b06aa23c28fd7b97a253e41b2f0.jpg,train,374,110,433,127
dataset\_work\crops\lettuce_disease_v1\anomala\th-13-_jpg.rf.831eaa2676aac3688aa595b1020f3021__ann5.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Viral,th-13-_jpg.rf.831eaa2676aac3688aa595b1020f3021.jpg,train,545,567,588,613
dataset\_work\crops\lettuce_disease_v1\anomala\istockphoto-459957419-1024x1024_jpg.rf.81010a4f0db4184b524c0442f08f3d63__ann6.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,istockphoto-459957419-1024x1024_jpg.rf.81010a4f0db4184b524c0442f08f3d63.jpg,train,228,206,265,239
dataset\_work\crops\lettuce_disease_v1\anomala\istockphoto-459957419-1024x1024_jpg.rf.81010a4f0db4184b524c0442f08f3d63__ann7.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Bacterial,istockphoto-459957419-1024x1024_jpg.rf.81010a4f0db4184b524c0442f08f3d63.jpg,train,174,232,201,269
dataset\_work\crops\lettuce_disease_v1\anomala\ba17_jpg.rf.83ffa328a75d44824660b06c715afd2d__ann8.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,ba17_jpg.rf.83ffa328a75d44824660b06c715afd2d.jpg,train,311,235,360,272
dataset\_work\crops\lettuce_disease_v1\anomala\Septoria_lactucae73_200x200_jpg.rf.81dcf4da23e9d7ddd9766783358e553e__ann9.jpg,anomala,lettuce_disease_v1,Lettuce Disease.v1i.coco,Septoria_Blight_on_lettuce,Septoria_lactucae73_200x200_jpg.rf.81dcf4da23e9d7ddd9766783358e553e.jpg,train,599,640,640,640
